INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192074549,3115,Investigate Person,INVESTIGATE PERSON,C11,246,,2019-09-16 19:50,2019,9,Monday,19,Part Three,SUDAN ST,42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
I192072147,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,245,,2019-09-08 22:30,2019,9,Sunday,22,Part Three,SUDAN ST,42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
I192071926,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,246,,2019-09-07 13:00,2019,9,Saturday,13,Part One,SUDAN ST,42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
I192064827,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,246,,2019-08-17 23:09,2019,8,Saturday,23,Part One,SUDAN ST,42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
I192056630,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,245,,2019-07-21 18:00,2019,7,Sunday,18,Part One,SUDAN ST,42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
I192014572,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,246,,2019-02-25 16:56,2019,2,Monday,16,Part Three,SUDAN ST,42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
I192009552,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,C11,246,,2019-02-05 20:22,2019,2,Tuesday,20,Part Two,SUDAN ST,42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
192099178,520,,BURGLARY - RESIDENTIAL,E13,639,0,2019-12-09 14:57,2019,12,Monday,14,,ROBINWOOD AVE,42.316687,-71.112612,"(42.31668700, -71.11261200)"
I192071939,617,Larceny,LARCENY THEFT FROM BUILDING,E13,639,,2019-09-08 14:48,2019,9,Sunday,14,Part One,ROBINWOOD AVE,42.31668732,-71.11261214,"(42.31668732, -71.11261214)"
I192039150,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,639,,2019-05-25 12:51,2019,5,Saturday,12,Part Three,ROBINWOOD AVE,42.31668732,-71.11261214,"(42.31668732, -71.11261214)"
