INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192060529,724,Auto Theft,AUTO THEFT,D4,903,,2019-08-03 22:30,2019,8,Saturday,22,Part One,LENOX ST,42.33779986,-71.08279826,"(42.33779986, -71.08279826)"
192100112,3006,,SICK/INJURED/MEDICAL - PERSON,C6,213,0,2019-12-12 16:54,2019,12,Thursday,16,,ATHENS ST,42.337803,-71.048177,"(42.33780300, -71.04817700)"
192098347,3115,,INVESTIGATE PERSON,C6,213,0,2019-12-06 6:30,2019,12,Friday,6,,ATHENS ST,42.337803,-71.048177,"(42.33780300, -71.04817700)"
I192027615,3207,Property Found,PROPERTY - FOUND,C6,213,,2019-04-14 14:09,2019,4,Sunday,14,Part Three,ATHENS ST,42.33780344,-71.04817772,"(42.33780344, -71.04817772)"
I192074807,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C6,213,,2019-04-05 0:00,2019,4,Friday,0,Part Two,ATHENS ST,42.33780344,-71.04817772,"(42.33780344, -71.04817772)"
I192020130,617,Larceny,LARCENY THEFT FROM BUILDING,C6,213,,2019-03-18 8:00,2019,3,Monday,8,Part One,ATHENS ST,42.33780344,-71.04817772,"(42.33780344, -71.04817772)"
I192052483,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,213,,2019-07-03 15:00,2019,7,Wednesday,15,Part Three,E ST,42.33781259,-71.04929183,"(42.33781259, -71.04929183)"
192098371,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C6, ,0,2019-12-06 18:49,2019,12,Friday,18,,,42.337813,-71.049292,"(42.33781300, -71.04929200)"
192089032,3501,,MISSING PERSON,B2,612,0,2019-11-02 23:58,2019,11,Saturday,23,,BINNEY ST,42.337813,-71.106598,"(42.33781300, -71.10659800)"
I192077873,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,612,,2019-09-26 19:14,2019,9,Thursday,19,Part Two,BINNEY ST,42.33781374,-71.10659848,"(42.33781374, -71.10659848)"
I192037599,613,Larceny,LARCENY SHOPLIFTING,B2,593,,2019-05-20 15:31,2019,5,Monday,15,Part One,BINNEY ST,42.33781374,-71.10659848,"(42.33781374, -71.10659848)"
I192036454,3301,Verbal Disputes,VERBAL DISPUTE,B2,612,,2019-05-16 13:21,2019,5,Thursday,13,Part Three,BINNEY ST,42.33781374,-71.10659848,"(42.33781374, -71.10659848)"
I192029371,3201,Property Lost,PROPERTY - LOST,B2,593,,2019-04-18 17:00,2019,4,Thursday,17,Part Three,BINNEY ST,42.33781374,-71.10659848,"(42.33781374, -71.10659848)"
I192026120,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,593,,2019-04-08 11:41,2019,4,Monday,11,Part One,BINNEY ST,42.33781374,-71.10659848,"(42.33781374, -71.10659848)"
I192026120,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,593,,2019-04-08 11:41,2019,4,Monday,11,Part Two,BINNEY ST,42.33781374,-71.10659848,"(42.33781374, -71.10659848)"
I192026258,3811,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,D4,285,,2019-04-09 19:42,2019,4,Tuesday,19,Part Three,COLUMBUS AVE,42.3378145,-71.0853955,"(42.33781450, -71.08539550)"
I192020854,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D4,285,,2019-03-21 9:55,2019,3,Thursday,9,Part Three,COLUMBUS AVE,42.3378145,-71.0853955,"(42.33781450, -71.08539550)"
I192020803,2604,Other,EXTORTION OR BLACKMAIL,D4,285,,2019-03-21 0:58,2019,3,Thursday,0,Part Two,COLUMBUS AVE,42.3378145,-71.0853955,"(42.33781450, -71.08539550)"
