INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192053027,3502,Missing Person Located,MISSING PERSON - LOCATED,A1,111,,2019-07-10 18:21,2019,7,Wednesday,18,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192053027,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,111,,2019-07-10 18:21,2019,7,Wednesday,18,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192052623,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2019-07-09 14:20,2019,7,Tuesday,14,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192052618,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,2019-07-09 14:00,2019,7,Tuesday,14,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192052618,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-09 14:00,2019,7,Tuesday,14,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192051161,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,2019-07-04 15:44,2019,7,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192051161,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-04 15:44,2019,7,Thursday,15,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192051161,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-04 15:44,2019,7,Thursday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192051001,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-07-03 23:24,2019,7,Wednesday,23,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192050829,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-03 15:04,2019,7,Wednesday,15,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192050829,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-03 15:04,2019,7,Wednesday,15,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192050797,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2019-07-03 11:50,2019,7,Wednesday,11,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192050588,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-02 19:41,2019,7,Tuesday,19,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192050588,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,,2019-07-02 19:41,2019,7,Tuesday,19,Part Two,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
I192050537,3125,Warrant Arrests,WARRANT ARREST,A1,111,,2019-07-02 16:31,2019,7,Tuesday,16,Part Three,TREMONT ST,42.35594239,-71.06258333,"(42.35594239, -71.06258333)"
