INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192056329,3114,Investigate Property,INVESTIGATE PROPERTY,E18,526,,2019-07-21 18:39,2019,7,Sunday,18,Part Three,COLCHESTER ST,42.23265556,-71.13069992,"(42.23265556, -71.13069992)"
I192058720,619,Larceny,LARCENY ALL OTHERS,E18,526,,2019-07-19 6:50,2019,7,Friday,6,Part One,COLCHESTER ST,42.23265556,-71.13069992,"(42.23265556, -71.13069992)"
192099290,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E18,527,0,2019-12-10 4:11,2019,12,Tuesday,4,,MEADOW RD,42.233085,-71.128157,"(42.23308500, -71.12815700)"
192097630,2610,,TRESPASSING,E18, ,0,2019-12-04 10:15,2019,12,Wednesday,10,,MEADOW RD,42.233085,-71.128157,"(42.23308500, -71.12815700)"
192087849,3005,,SICK ASSIST,E18,527,0,2019-10-30 10:30,2019,10,Wednesday,10,,MEADOW RD,42.233085,-71.128157,"(42.23308500, -71.12815700)"
I192075011,1201,Embezzlement,EMBEZZLEMENT,E18,527,,2019-09-18 9:50,2019,9,Wednesday,9,Part Two,MEADOW RD,42.2330858,-71.12815697,"(42.23308580, -71.12815697)"
192088723,3115,,INVESTIGATE PERSON,E18,527,0,2019-11-01 21:55,2019,11,Friday,21,,HAMILTON ST,42.233157,-71.132653,"(42.23315700, -71.13265300)"
192081458,3301,,VERBAL DISPUTE,E18,527,0,2019-10-08 13:54,2019,10,Tuesday,13,,HAMILTON ST,42.233157,-71.132653,"(42.23315700, -71.13265300)"
I192077371,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,527,,2019-09-25 10:54,2019,9,Wednesday,10,Part Three,HAMILTON ST,42.23315741,-71.13265354,"(42.23315741, -71.13265354)"
I192048473,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,527,,2019-06-26 3:01,2019,6,Wednesday,3,Part Three,HAMILTON ST,42.23315741,-71.13265354,"(42.23315741, -71.13265354)"
I192003959,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E18,527,,2019-01-15 13:44,2019,1,Tuesday,13,Part Three,HAMILTON ST,42.23315741,-71.13265354,"(42.23315741, -71.13265354)"
I192001389,617,Larceny,LARCENY THEFT FROM BUILDING,E18,527,,2019-01-05 19:59,2019,1,Saturday,19,Part One,HAMILTON ST,42.23315741,-71.13265354,"(42.23315741, -71.13265354)"
I192000308,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,527,,2019-01-02 0:35,2019,1,Wednesday,0,Part Three,HAMILTON ST,42.23315741,-71.13265354,"(42.23315741, -71.13265354)"
