,FID,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length,NUMPOINTS,PERCENT,PAY_AMOUNT,MINUTES_WORKED,PAY_HOURS
138,139,139,25,25,50600,25025050600,506,Census Tract 506,G5020,S,169229,0,42.3718877,-71.0372695,1821435.099,6323.970277,310246.6875,2610.426084,306,0.004333664,108154,92720,2289
139,140,140,25,25,50500,25025050500,505,Census Tract 505,G5020,S,114773,0,42.3697766,-71.0339104,1235330.001,4510.662385,210400.9141,1861.365431,67,0.000948874,24468,20100,520
140,141,141,25,25,50400,25025050400,504,Census Tract 504,G5020,S,131979,0,42.3682184,-71.0379018,1420513.594,5581.260884,241929.5078,2303.018411,326,0.00461691,116472,101380,2482
141,142,142,25,25,50300,25025050300,503,Census Tract 503,G5020,S,355328,364097,42.3722392,-71.0434118,7743347.422,13380.83724,1318951.121,5526.86023,457,0.006472171,171232,165615,3582
142,143,143,25,25,50200,25025050200,502,Census Tract 502,G5020,S,243272,0,42.3775778,-71.0357577,2618361.161,9682.551535,446068.3164,3996.271456,3475,0.049213992,1257400,1120403,26656
143,144,144,25,25,40300,25025040300,403,Census Tract 403,G5020,S,280098,0,42.3787347,-71.0633841,3014756.668,9825.189024,513617.1094,4055.829554,105,0.001487041,37732,33195,816
144,145,145,25,25,40200,25025040200,402,Census Tract 402,G5020,S,143569,0,42.3768529,-71.0567931,1545294.898,7223.003502,263252.7266,2981.456547,63,0.000892225,22080,20145,476
145,146,146,25,25,30500,25025030500,305,Census Tract 305,G5020,S,190734,292691,42.3675368,-71.0519594,5203145.905,11692.37301,886138.5781,4823.731594,130,0.001841099,47653,43515,1017
146,147,147,25,25,981600,25025981600,9816,Census Tract 9816,G5020,S,586984,158872,42.3886205,-70.9934424,8027802.622,16614.07299,1368096.289,6855.968292,6,8.49738E-05,2208,1875,48
147,148,148,25,25,51101,25025051101,511.01,Census Tract 511.01,G5020,S,1159406,623214,42.3854556,-71.0043188,19186721.73,27435.90164,3269507.602,11321.42853,485,0.006868715,173764,164970,3708
148,149,149,25,25,51000,25025051000,510,Census Tract 510,G5020,S,1044305,210152,42.3873027,-71.0161271,13502012.65,21002.89174,2300923.254,8672.022125,416,0.005891517,147180,130200,3122
149,150,150,25,25,30400,25025030400,304,Census Tract 304,G5020,S,108635,0,42.3644367,-71.0541678,1169226.178,6082.712145,199108.6602,2510.837476,449,0.006358873,158676,159745,3398
150,151,151,25,25,30300,25025030300,303,Census Tract 303,G5020,S,691377,234496,42.3600562,-71.0532861,9965349.201,16128.65575,1696782.73,6655.803712,4833,0.068446396,1732928,1618638,36760
151,152,152,25,25,30200,25025030200,302,Census Tract 302,G5020,S,66711,0,42.3645208,-71.056975,718033.8486,4474.043635,122274.9766,1847.678816,186,0.002634188,66928,60420,1404
152,153,153,25,25,30100,25025030100,301,Census Tract 301,G5020,S,76346,0,42.3669462,-71.0561502,821725.4429,3983.470634,139943.5039,1643.689519,172,0.002435916,61094,54930,1315
153,154,154,25,25,20200,25025020200,202,Census Tract 202,G5020,S,116893,0,42.3603354,-71.0686334,1258118.249,5307.823092,214218.4961,2188.398488,716,0.010140207,262890,240865,5531
154,155,155,25,25,10600,25025010600,106,Census Tract 106,G5020,S,339505,0,42.3476385,-71.0793851,3654163.726,9947.780962,621941.6797,4101.922239,425,0.006018977,148906,129070,3167
155,156,156,25,25,10500,25025010500,105,Census Tract 105,G5020,S,188533,10075,42.3445637,-71.0845748,2137658.048,6497.627391,363797.6445,2680.89875,1028,0.014558844,369362,330825,7939
156,157,157,25,25,10300,25025010300,103,Census Tract 103,G5020,S,509208,0,42.3394252,-71.1017927,5480700.057,12328.34769,932578.8164,5082.930689,252,0.0035689,89152,75710,1880
157,158,158,25,25,802,25025000802,8.02,Census Tract 8.02,G5020,S,977475,0,42.3568717,-71.1297576,10520753.59,21233.97466,1791162.203,8755.521764,399,0.005650758,141980,122725,3028
158,159,159,25,25,701,25025000701,7.01,Census Tract 7.01,G5020,S,230433,0,42.3469581,-71.1379847,2480202.829,7182.282231,422123.6953,2963.487352,97,0.001373743,35068,31470,748
159,160,160,25,25,50101,25025050101,501.01,Census Tract 501.01,G5020,S,299772,184516,42.3816657,-71.0397908,5212500.37,11841.11667,888116.2148,4888.120466,406,0.005749894,147952,130125,3140
160,161,161,25,25,50901,25025050901,509.01,Census Tract 509.01,G5020,S,614932,194139,42.3819368,-71.0295001,8708253.232,18100.26788,1483773.789,7469.717231,347,0.004914318,126698,107365,2639
161,162,162,25,25,60501,25025060501,605.01,Census Tract 605.01,G5020,S,411742,0,42.3368686,-71.0382133,4431658.036,11519.09661,754016.9727,4745.679381,498,0.007052825,172978,153960,3705
162,163,163,25,25,981202,25025981202,9812.02,Census Tract 9812.02,G5020,S,1594870,933939,42.3439164,-71.0243619,27217979.48,29392.096,4631835.008,12118.92438,401,0.005679082,132438,132585,2819
163,164,164,25,25,40100,25025040100,401,Census Tract 401,G5020,S,259341,64873,42.372998,-71.0601499,3489571.571,9607.532853,594397.6797,3965.615352,286,0.004050418,78104,68655,1652
164,165,165,25,25,40600,25025040600,406,Census Tract 406,G5020,S,1426899,420711,42.3830719,-71.069973,19886347.76,29215.36263,3388496.191,12062.4202,995,0.014091488,369956,382215,7873
165,166,166,25,25,602,25025000602,6.02,Census Tract 6.02,G5020,S,599777,0,42.3492514,-71.142457,6455495.773,12086.67655,1098786.848,4985.45718,186,0.002634188,65396,57150,1400
166,167,167,25,25,601,25025000601,6.01,Census Tract 6.01,G5020,S,495044,0,42.350982,-71.1457225,5328243.451,15441.58003,906988.957,6368.02297,343,0.004857669,125602,111615,2687
167,168,168,25,25,502,25025000502,5.02,Census Tract 5.02,G5020,S,863889,334529,42.3315048,-71.1574973,12898832.46,18521.78106,2194611.254,7636.30946,161,0.00228013,54258,44415,1165
168,169,169,25,25,402,25025000402,4.02,Census Tract 4.02,G5020,S,806765,0,42.3441742,-71.1588288,8683342.129,11951.52828,1477751.301,4930.418605,198,0.002804135,70298,59055,1497
169,170,170,25,25,401,25025000401,4.01,Census Tract 4.01,G5020,S,431043,0,42.3438495,-71.1492929,4639384.102,9529.030862,789533,3930.697201,193,0.002733324,70274,64980,1501
170,171,171,25,25,202,25025000202,2.02,Census Tract 2.02,G5020,S,601637,0,42.3526051,-71.1543443,6475526.571,12739.92799,1102312.715,5255.263484,299,0.004234528,108358,102075,2289
171,172,172,25,25,201,25025000201,2.01,Census Tract 2.01,G5020,S,599378,0,42.3540662,-71.1611678,6451197.134,13149.818,1098221.758,5425.785768,191,0.002704999,69312,63945,1460
172,173,173,25,25,40401,25025040401,404.01,Census Tract 404.01,G5020,S,429844,28580,42.3741334,-71.0663888,4934135.248,14545.16907,840489.9844,6004.257895,126,0.00178445,45744,39930,988
173,174,174,25,25,20303,25025020303,203.03,Census Tract 203.03,G5020,S,448840,78767,42.36596,-71.0634677,5678662.519,11559.30277,967072.1602,4768.672977,1968,0.027871406,714588,716565,15083
174,175,175,25,25,70402,25025070402,704.02,Census Tract 704.02,G5020,S,267664,10223,42.3451368,-71.0644405,2990942.636,7358.198522,509025.0273,3033.919068,332,0.004701884,122910,110135,2573
175,176,176,25,25,20302,25025020302,203.02,Census Tract 203.02,G5020,S,76782,0,42.3593442,-71.0639956,826400.5964,3960.522914,140705.9805,1635.410248,159,0.002251806,55550,49230,1183
176,177,177,25,25,20301,25025020301,203.01,Census Tract 203.01,G5020,S,256258,328,42.3631745,-71.0686463,2761716.232,10710.51092,470280.3125,4418.758815,344,0.004871831,127206,122230,2699
177,178,178,25,25,20101,25025020101,201.01,Census Tract 201.01,G5020,S,223142,0,42.3577086,-71.0694112,2401692.516,7637.223404,408899.9258,3149.451618,413,0.00584903,144794,130760,3051
178,179,179,25,25,81001,25025081001,810.01,Census Tract 810.01,G5020,S,558488,0,42.3345666,-71.1068303,6011081.991,16640.521,1022670.648,6862.328681,503,0.007123637,179936,157780,3842
179,180,180,25,25,10403,25025010403,104.03,Census Tract 104.03,G5020,S,88556,0,42.345075,-71.088061,953147.4683,4227.644208,162213.4336,1744.671475,69,0.000977199,24936,22335,532
180,181,181,25,25,100,25025000100,1,Census Tract 1,G5020,S,1794942,0,42.3614845,-71.1385879,19319283.08,28223.05956,3289593.316,11640.49771,364,0.005155077,131450,118134,2805
